Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
KEN,2000-01-01,2002-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,57.3,E,
KEN,2001-01-01,2003-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20012003,2003,g/cap/d,56.8,E,
KEN,2002-01-01,2004-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,56.8,E,
KEN,2003-01-01,2005-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,57.8,E,
KEN,2004-01-01,2006-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,59.4,E,
KEN,2005-01-01,2007-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,60.4,E,
KEN,2006-01-01,2008-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,59.3,E,
KEN,2007-01-01,2009-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,59.1,E,
KEN,2008-01-01,2010-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20082010,2010,g/cap/d,58.5,E,
KEN,2009-01-01,2011-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20092011,2011,g/cap/d,59.4,E,
KEN,2010-01-01,2012-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20102012,2012,g/cap/d,59.6,E,
KEN,2011-01-01,2013-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20112013,2013,g/cap/d,60,E,
KEN,2012-01-01,2014-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20122014,2014,g/cap/d,60,E,
KEN,2013-01-01,2015-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20132015,2015,g/cap/d,60.2,E,
KEN,2014-01-01,2016-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20142016,2016,g/cap/d,60.4,E,
KEN,2015-01-01,2017-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20152017,2017,g/cap/d,59.9,E,
KEN,2016-01-01,2018-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20162018,2018,g/cap/d,59.3,E,
KEN,2017-01-01,2019-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20172019,2019,g/cap/d,59.5,E,
KEN,2018-01-01,2020-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20182020,2020,g/cap/d,58.9,E,
KEN,2019-01-01,2021-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20192021,2021,g/cap/d,57.7,E,
KEN,2020-01-01,2022-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20202022,2022,g/cap/d,56.5,E,
KEN,2021-01-01,2023-12-31,114,'404,Kenya,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20212023,2023,g/cap/d,56,E,
KEN,2000-01-01,2002-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,15.3,E,
KEN,2001-01-01,2003-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20012003,2003,g/cap/d,15.4,E,
