Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Feb 2026,KEN,53331000,,Kajiado,current,2026-01-01,2026-03-31,all,1328000,1.0
Feb 2026,KEN,53331000,,Kajiado,current,2026-01-01,2026-03-31,3+,66400,0.05
Feb 2026,KEN,53331000,,Kajiado,current,2026-01-01,2026-03-31,1,730400,0.55
Feb 2026,KEN,53331000,,Kajiado,current,2026-01-01,2026-03-31,2,531200,0.4
Feb 2026,KEN,53331000,,Kajiado,current,2026-01-01,2026-03-31,3,66400,0.05
Feb 2026,KEN,53331000,,Kajiado,current,2026-01-01,2026-03-31,4,0,0
Feb 2026,KEN,53331000,,Kajiado,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Kajiado,first projection,2026-04-01,2026-06-30,all,1328000,1.0
Feb 2026,KEN,53331000,,Kajiado,first projection,2026-04-01,2026-06-30,3+,66400,0.05
Feb 2026,KEN,53331000,,Kajiado,first projection,2026-04-01,2026-06-30,1,664000,0.5
Feb 2026,KEN,53331000,,Kajiado,first projection,2026-04-01,2026-06-30,2,597600,0.45
Feb 2026,KEN,53331000,,Kajiado,first projection,2026-04-01,2026-06-30,3,66400,0.05
Feb 2026,KEN,53331000,,Kajiado,first projection,2026-04-01,2026-06-30,4,0,0
Feb 2026,KEN,53331000,,Kajiado,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Kakuma,current,2026-01-01,2026-03-31,all,221090,1.0
Feb 2026,KEN,53331000,,Kakuma,current,2026-01-01,2026-03-31,3+,132654,0.6
Feb 2026,KEN,53331000,,Kakuma,current,2026-01-01,2026-03-31,1,22109,0.1
Feb 2026,KEN,53331000,,Kakuma,current,2026-01-01,2026-03-31,2,66327,0.3
Feb 2026,KEN,53331000,,Kakuma,current,2026-01-01,2026-03-31,3,77382,0.35
Feb 2026,KEN,53331000,,Kakuma,current,2026-01-01,2026-03-31,4,55273,0.25
Feb 2026,KEN,53331000,,Kakuma,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Kakuma,first projection,2026-04-01,2026-06-30,all,221090,1.0
Feb 2026,KEN,53331000,,Kakuma,first projection,2026-04-01,2026-06-30,3+,132654,0.6
Feb 2026,KEN,53331000,,Kakuma,first projection,2026-04-01,2026-06-30,1,22109,0.1
Feb 2026,KEN,53331000,,Kakuma,first projection,2026-04-01,2026-06-30,2,66327,0.3
Feb 2026,KEN,53331000,,Kakuma,first projection,2026-04-01,2026-06-30,3,77382,0.35
Feb 2026,KEN,53331000,,Kakuma,first projection,2026-04-01,2026-06-30,4,55273,0.25
Feb 2026,KEN,53331000,,Kakuma,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Kalobeyei,current,2026-01-01,2026-03-31,all,82184,1.0
Feb 2026,KEN,53331000,,Kalobeyei,current,2026-01-01,2026-03-31,3+,53420,0.65
Feb 2026,KEN,53331000,,Kalobeyei,current,2026-01-01,2026-03-31,1,8218,0.1
Feb 2026,KEN,53331000,,Kalobeyei,current,2026-01-01,2026-03-31,2,20546,0.25
Feb 2026,KEN,53331000,,Kalobeyei,current,2026-01-01,2026-03-31,3,32874,0.4
Feb 2026,KEN,53331000,,Kalobeyei,current,2026-01-01,2026-03-31,4,20546,0.25
Feb 2026,KEN,53331000,,Kalobeyei,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Kalobeyei,first projection,2026-04-01,2026-06-30,all,82184,1.0
Feb 2026,KEN,53331000,,Kalobeyei,first projection,2026-04-01,2026-06-30,3+,53420,0.65
Feb 2026,KEN,53331000,,Kalobeyei,first projection,2026-04-01,2026-06-30,1,8218,0.1
Feb 2026,KEN,53331000,,Kalobeyei,first projection,2026-04-01,2026-06-30,2,20546,0.25
Feb 2026,KEN,53331000,,Kalobeyei,first projection,2026-04-01,2026-06-30,3,32874,0.4
Feb 2026,KEN,53331000,,Kalobeyei,first projection,2026-04-01,2026-06-30,4,20546,0.25
Feb 2026,KEN,53331000,,Kalobeyei,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Kilifi,current,2026-01-01,2026-03-31,all,1637000,1.0
Feb 2026,KEN,53331000,,Kilifi,current,2026-01-01,2026-03-31,3+,245550,0.15
Feb 2026,KEN,53331000,,Kilifi,current,2026-01-01,2026-03-31,1,1064050,0.65
Feb 2026,KEN,53331000,,Kilifi,current,2026-01-01,2026-03-31,2,327400,0.2
Feb 2026,KEN,53331000,,Kilifi,current,2026-01-01,2026-03-31,3,245550,0.15
Feb 2026,KEN,53331000,,Kilifi,current,2026-01-01,2026-03-31,4,0,0
Feb 2026,KEN,53331000,,Kilifi,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Kilifi,first projection,2026-04-01,2026-06-30,all,1637000,1.0
Feb 2026,KEN,53331000,,Kilifi,first projection,2026-04-01,2026-06-30,3+,327400,0.2
Feb 2026,KEN,53331000,,Kilifi,first projection,2026-04-01,2026-06-30,1,900350,0.55
Feb 2026,KEN,53331000,,Kilifi,first projection,2026-04-01,2026-06-30,2,409250,0.25
Feb 2026,KEN,53331000,,Kilifi,first projection,2026-04-01,2026-06-30,3,327400,0.2
Feb 2026,KEN,53331000,,Kilifi,first projection,2026-04-01,2026-06-30,4,0,0
Feb 2026,KEN,53331000,,Kilifi,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Kitui,current,2026-01-01,2026-03-31,all,1259000,1.0
Feb 2026,KEN,53331000,,Kitui,current,2026-01-01,2026-03-31,3+,188850,0.15
Feb 2026,KEN,53331000,,Kitui,current,2026-01-01,2026-03-31,1,818350,0.65
Feb 2026,KEN,53331000,,Kitui,current,2026-01-01,2026-03-31,2,251800,0.2
Feb 2026,KEN,53331000,,Kitui,current,2026-01-01,2026-03-31,3,188850,0.15
Feb 2026,KEN,53331000,,Kitui,current,2026-01-01,2026-03-31,4,0,0
Feb 2026,KEN,53331000,,Kitui,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Kitui,first projection,2026-04-01,2026-06-30,all,1259000,1.0
Feb 2026,KEN,53331000,,Kitui,first projection,2026-04-01,2026-06-30,3+,251800,0.2
Feb 2026,KEN,53331000,,Kitui,first projection,2026-04-01,2026-06-30,1,755400,0.6
Feb 2026,KEN,53331000,,Kitui,first projection,2026-04-01,2026-06-30,2,251800,0.2
Feb 2026,KEN,53331000,,Kitui,first projection,2026-04-01,2026-06-30,3,251800,0.2
Feb 2026,KEN,53331000,,Kitui,first projection,2026-04-01,2026-06-30,4,0,0
Feb 2026,KEN,53331000,,Kitui,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Kwale,current,2026-01-01,2026-03-31,all,988000,1.0
Feb 2026,KEN,53331000,,Kwale,current,2026-01-01,2026-03-31,3+,197600,0.2
Feb 2026,KEN,53331000,,Kwale,current,2026-01-01,2026-03-31,1,395200,0.4
Feb 2026,KEN,53331000,,Kwale,current,2026-01-01,2026-03-31,2,395200,0.4
Feb 2026,KEN,53331000,,Kwale,current,2026-01-01,2026-03-31,3,197600,0.2
Feb 2026,KEN,53331000,,Kwale,current,2026-01-01,2026-03-31,4,0,0
Feb 2026,KEN,53331000,,Kwale,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Kwale,first projection,2026-04-01,2026-06-30,all,988000,1.0
Feb 2026,KEN,53331000,,Kwale,first projection,2026-04-01,2026-06-30,3+,247000,0.25
Feb 2026,KEN,53331000,,Kwale,first projection,2026-04-01,2026-06-30,1,296400,0.3
Feb 2026,KEN,53331000,,Kwale,first projection,2026-04-01,2026-06-30,2,444600,0.45
Feb 2026,KEN,53331000,,Kwale,first projection,2026-04-01,2026-06-30,3,197600,0.2
Feb 2026,KEN,53331000,,Kwale,first projection,2026-04-01,2026-06-30,4,49400,0.05
Feb 2026,KEN,53331000,,Kwale,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Laikipia,current,2026-01-01,2026-03-31,all,583000,1.0
Feb 2026,KEN,53331000,,Laikipia,current,2026-01-01,2026-03-31,3+,29150,0.05
Feb 2026,KEN,53331000,,Laikipia,current,2026-01-01,2026-03-31,1,262350,0.45
Feb 2026,KEN,53331000,,Laikipia,current,2026-01-01,2026-03-31,2,291500,0.5
Feb 2026,KEN,53331000,,Laikipia,current,2026-01-01,2026-03-31,3,29150,0.05
Feb 2026,KEN,53331000,,Laikipia,current,2026-01-01,2026-03-31,4,0,0
Feb 2026,KEN,53331000,,Laikipia,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Laikipia,first projection,2026-04-01,2026-06-30,all,583000,1.0
Feb 2026,KEN,53331000,,Laikipia,first projection,2026-04-01,2026-06-30,3+,29150,0.05
Feb 2026,KEN,53331000,,Laikipia,first projection,2026-04-01,2026-06-30,1,262350,0.45
Feb 2026,KEN,53331000,,Laikipia,first projection,2026-04-01,2026-06-30,2,291500,0.5
Feb 2026,KEN,53331000,,Laikipia,first projection,2026-04-01,2026-06-30,3,29150,0.05
Feb 2026,KEN,53331000,,Laikipia,first projection,2026-04-01,2026-06-30,4,0,0
Feb 2026,KEN,53331000,,Laikipia,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Makueni,current,2026-01-01,2026-03-31,all,1065000,1.0
Feb 2026,KEN,53331000,,Makueni,current,2026-01-01,2026-03-31,3+,159750,0.15
Feb 2026,KEN,53331000,,Makueni,current,2026-01-01,2026-03-31,1,532500,0.5
Feb 2026,KEN,53331000,,Makueni,current,2026-01-01,2026-03-31,2,372750,0.35
Feb 2026,KEN,53331000,,Makueni,current,2026-01-01,2026-03-31,3,159750,0.15
Feb 2026,KEN,53331000,,Makueni,current,2026-01-01,2026-03-31,4,0,0
Feb 2026,KEN,53331000,,Makueni,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Makueni,first projection,2026-04-01,2026-06-30,all,1065000,1.0
Feb 2026,KEN,53331000,,Makueni,first projection,2026-04-01,2026-06-30,3+,213000,0.2
